Host	Phage	Timepoint (Hr)	MOI 0.1	MOI 0.1	MOI 0.1	Mean (MOI 0.1)	MOI 0.01	MOI 0.01	MOI 0.01	Mean (MOI 0.01)	MOI 0.001	MOI 0.001	MOI 0.001	Mean (MOI 0.001)	Positive control	Positive control	Positive control	Mean	Negative control (Only BHI)	Negative control (Only BHI)	Negative control (Only BHI)	Mean
YI6	Yi6-1_Bop	72	0.1056	0.1014	0.102	0.103	0.1053	0.1025	0.1036	0.1038	0.1078	0.1097	0.2515	0.156333333	0.8335	0.8431	0.8406	0.839066667	0.1008	0.1026	0.0993	0.1009
YI6	Yi6-1_Car	72	0.1744	0.1636	0.17	0.169333333	0.1701	0.1769	0.17	0.172333333	0.2635	0.2721	0.2828	0.2728	0.671	0.7012	0.721	0.697733333	0.1012	0.111	0.1135	0.108566667
YI6	Yi6-1_CCS1	72	0.276	0.372	0.409	0.352333333	0.281	0.447	0.346	0.358	0.3	0.48	0.339	0.373								
YI6	Yi6-1_CCS3	72	0.1044	0.1057	0.1065	0.105533333	0.1054	0.1059	0.1052	0.1055	0.1068	0.1075	0.1183	0.110866667								
YI6	Yi6-1_Ump	72	0.122	0.123	0.129	0.124666667	0.127	0.126	0.136	0.129666667	0.14	0.303	0.165	0.202666667	0.671	0.7012	0.721	0.697733333	0.1012	0.111	0.1135	0.108566667
YI6	Yi6-1_Carl	72	0.341	0.346	0.35	0.345666667	0.363	0.34	0.352	0.351666667	0.379	0.334	0.36	0.357666667								
YI6	Yi6-1_Bill	72	0.32	0.203	0.128	0.217	0.279	0.378	0.404	0.353666667	0.329	0.349	0.346	0.341333333								
YI6	Yi6-1_Ben	72	0.132	0.196	0.154	0.160666667	0.11	0.173	0.183	0.155333333	0.193	0.173	0.232	0.199333333	0.8335	0.8431	0.8406	0.839066667	0.1008	0.1026	0.0993	0.1009
YI6	Yi6-1_Cocktail 1 (Bill+CCS3)	72	0.464	0.453	0.134	0.350333333	0.317	0.393	0.147	0.285666667	0.203	0.347	0.185	0.245	0.692	0.7012	0.6941	0.695766667	0.1101	0.1248	0.1178	0.117566667
YI6	Yi6-1_Cocktail 2 (Bop+CCS3)	72	0.1067	0.1095	0.1094	0.108533333	0.1082	0.1096	0.1096	0.109133333	0.1103	0.1109	0.1116	0.110933333	0.9215	0.988	0.8633	0.924266667	0.1039	0.1056	0.1068	0.105433333
YI6	Yi6-1_Cocktail 3 (Carl+SDS2)	72	0.105	0.1084	0.108	0.107133333	0.108	0.1063	0.1042	0.106166667	0.1109	0.1073	0.1156	0.111266667								
YI6	Yi6-1_Cocktail 4 (Carl+Ump)	72	0.141	0.142	0.135	0.139333333	0.139	0.143	0.139	0.140333333	0.15	0.153	0.16	0.154333333								
YI6	Yi6-1_Cocktail 5 (SDS1+SDS2)	72	0.1306	0.1005	0.0985	0.109866667	0.1002	0.0999	0.3203	0.173466667	0.3843	0.1033	0.2843	0.1938	0.8116	0.7541	0.7265	0.764066667	0.0992	0.1007	0.1	0.099966667
YI6	Yi6-1_Cocktail 6 (Ben+CCS1)	72	0.107	0.111	0.1087	0.1089	0.1133	0.1132	0.1096	0.112033333	0.1135	0.1171	0.1218	0.117466667								
YI6	Yi6-1_Cocktail 7 (Bill+CCS3+Ump)	72	0.143	0.285	0.133	0.187	0.163	0.159	0.172	0.164666667	0.402	0.455	0.288	0.381666667	0.692	0.7012	0.6941	0.695766667	0.1101	0.1248	0.1178	0.117566667
YI6	Yi6-1_Cocktail 8 (Bop+CCS3+Ump)	72	0.1108	0.1134	0.111	0.111733333	0.1106	0.1121	0.1138	0.112166667	0.118	0.1132	0.1158	0.115666667								
YI6	Yi6-1_Cocktail 9 (Carl+SDS2+Ump)	72	0.1057	0.1072	0.1077	0.106866667	0.1053	0.1082	0.1066	0.1067	0.1105	0.1124	0.1117	0.111533333								
